,Category,Title,Author,Rank,Weeks on List,Publisher,ISBN13,ISBN10,Description,Price,Stars,Reviews,Ratings
0,Combined Print & E-Book Fiction,SOMEWHERE BEYOND THE SEA,TJ Klune,1,1,Tor,9781250881205,125088120X,The second book in the Cerulean Chronicles series. The headmaster of a strange orphanage seeks to protect the magical children who reside there.,Price not found on the page.,4.46,2098.0,8830.0
1,Combined Print & E-Book Fiction,HERE ONE MOMENT,Liane Moriarty,2,1,Crown,9780593798607,0593798600,Passengers on a short and seemingly unremarkable flight learn how and when they are going to die.,Price not found on the page.,4.22,2129.0,8775.0
2,Combined Print & E-Book Fiction,TELL ME EVERYTHING,Elizabeth Strout,3,1,Random House,9780593446096,0593446097,"As a murder casts a pall on a town in Maine, Lucy Barton, Olive Kitteridge and Bob Burgess share stories and seek meaning.",Price not found on the page.,4.44,744.0,3345.0
3,Combined Print & E-Book Fiction,IT ENDS WITH US,Colleen Hoover,4,138,Atria,9781501110368,1501110365,A battered wife raised in a violent home attempts to halt the cycle of abuse; the basis of the film.,Price not found on the page.,4.14,279031.0,3834787.0
4,Combined Print & E-Book Fiction,THE WOMEN,Kristin Hannah,5,32,St. Martin's,9781250178633,1250178630,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",Price not found on the page.,4.63,78338.0,697586.0
5,Combined Print & E-Book Fiction,IT STARTS WITH US,Colleen Hoover,6,54,Atria,9781668001226,1668001225,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",Price not found on the page.,3.86,114549.0,1718109.0
6,Combined Print & E-Book Fiction,THE PERFECT COUPLE,Elin Hilderbrand,7,9,"Little, Brown",9780316375269,0316375268,A body is found in Nantucket Harbor hours before a picture-perfect wedding.,Price not found on the page.,3.99,13380.0,176239.0
7,Combined Print & E-Book Fiction,A COURT OF THORNS AND ROSES,Sarah J. Maas,8,23,Bloomsbury,9781619634459,1619634457,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",Price not found on the page.,4.18,239167.0,3032370.0
8,Combined Print & E-Book Fiction,THE HOUSEMAID,Freida McFadden,9,62,Grand Central,9781538742570,1538742578,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,Price not found on the page.,4.32,130796.0,1544903.0
9,Combined Print & E-Book Fiction,DEMON COPPERHEAD,Barbara Kingsolver,10,31,Harper Perennial,9780063251922,0063251922,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,Price not found on the page.,4.5,53198.0,508226.0
10,Combined Print & E-Book Fiction,IRON FLAME,Rebecca Yarros,11,37,Red Tower,9781649374172,1649374178,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,Price not found on the page.,4.35,147449.0,1336939.0
